year,month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM
2010,1,96.9,4.1974193548387095,44.42,1.124157303299094,0.1795249746897603,0,0,0.8
2010,2,96.84,4.975825892857143,18.71,1.7914637629159138,0.2023879679622908,0,0,0.8
2010,3,96.76,7.9310416666666645,17.72,5.37650587627689,0.20014587082686075,0,1,0.8
2010,4,96.6,12.667600241545893,22.38,9.736884439358064,0.3061492652413951,0,1,1.6
2010,5,96.5,13.292030770990621,55.6,9.454092025005398,0.33260704203957686,0,1,1.6
2010,6,96.4,17.98163194444444,110.59,13.463573905785045,0.28952709682787314,0,1,1.6
2010,7,96.44,21.973998655913977,14.12,19.412273011125663,0.2800772073187269,0,0,1.6
2010,8,96.36,21.343004032258058,0.2,18.420159684961924,0.2768556732612697,0,0,0.8
2010,9,96.28,18.09047222222222,13.27,10.379013940916982,0.31105920254387015,0,0,0.8
2010,10,96.0,12.791115591397851,34.49,5.090717694864809,0.26463077844191263,0,1,0.8
2010,11,95.9,7.716113475177305,38.09,1.7584424210081493,0.23328814400604633,0,1,0.8
2010,12,95.8,4.200315860215053,29.36,1.3182821014289103,0.2124088574581697,0,1,0.8
2011,1,96.85000000000001,5.303508064516127,23.15,1.3497731762316119,0.17006867307334045,0,0,0.8
2011,2,96.75,7.077819940476191,34.41,2.6387363486182087,0.17454487517260295,0,0,0.8
2011,3,96.65,8.573790322580646,38.67,3.55859915848101,0.2297599791959555,0,1,0.8
2011,4,96.55,14.102173611111114,45.19,9.009340581424667,0.30518703919303103,0,1,1.6
2011,5,96.45,16.70707661290323,36.12,11.786551558573008,0.3181983698041624,0,1,1.6
2011,6,96.35000000000001,18.494375,23.2,15.175452907847703,0.26415989532062845,0,1,1.6
2011,7,96.39,19.744630376344087,18.98,18.438836265733535,0.2982441154154626,0,0,1.6
2011,8,96.31,22.514240591397844,5.23,20.442375799943107,0.28081509418812767,0,0,0.8
2011,9,96.05,19.960715277777776,26.82,12.415765360762931,0.29476492046704256,0,0,0.8
2011,10,96.15,14.963803763440865,10.69,8.327003772963014,0.34549083660192614,0,1,0.8
2011,11,95.85000000000001,10.5598125,48.96,1.1939813241474204,0.17717703352875414,0,1,0.8
2011,12,95.75,6.8902822580645156,20.73,1.5650989947930214,0.17435679339387639,0,1,0.8
2012,1,96.82000000000001,6.189502688172042,8.47,1.551930375894411,0.15204931094821528,0,0,0.8
2012,2,96.74000000000001,4.479985632183908,8.28,3.4436879200194492,0.18107037249079494,0,0,0.8
2012,3,96.66000000000001,10.365853494623655,4.82,10.15828045123509,0.24915489999133802,0,1,0.8
2012,4,96.58000000000001,9.628916666666665,9.29,5.1787562957354005,0.2945192920486226,0,1,1.6
2012,5,96.5,16.508850806451612,7.87,14.947382594361011,0.3477889725121427,0,1,1.6
2012,6,96.42,20.611062500000006,5.43,20.226988113589098,0.3222561993949702,0,1,1.6
2012,7,96.34,20.564764784946234,8.08,21.49160784651096,0.31317488242162517,0,0,1.6
